Station_ID,Station_Code,Station_Name,Official_Address,Route_Order,Latitude,Longitude,Administrative Town,Area Type,Landmark,Interchange,Opening Date,Status,Source
16,LMB016,Model Town Station,"Model Town, Lahore",16,31.5278,74.315,Gulberg Town,Residential,Model Town,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
17,LMB017,Naseerabad Station,"Lahore Metro Bus System, Model Town, Lahore",17,31.5232,74.3174,Gulberg Town,Residential,Naseerabad,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
18,LMB018,Ittefaq Hospital,"Arfa Software Technology Park Bus Station, Ferozepur Road, Model Town, Lahore",18,31.5187,74.3201,Gulberg Town,Healthcare,Ittefaq Hospital / Arfa Software Technology Park,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
19,LMB019,Qainchi Station,"Ferozepur Road, Nishtar Town, Lahore",19,31.5138,74.3234,Gulberg Town,Commercial,Qainchi Chowk,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
20,LMB020,Ghazi Chowk Station,"Ferozepur Road, Gul Colony, Lahore",20,31.5085,74.327,Gulberg Town,Commercial,Ghazi Chowk,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
21,LMB021,Chungi Amar Sidhu Station,"Chungi Amar Sidhu, Lahore",21,31.5032,74.3312,Gulberg Town,Commercial,Chungi Amar Sidhu,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
22,LMB022,Kamahan Station,"Lahore - Kasur Road, Gulshan Yaseen Colony, Lahore",22,31.4978,74.336,Gulberg Town,Residential,Kamahan,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
23,LMB023,Atari Saroba Station,"Lahore - Kasur Road, Sherwani Town Housing Scheme, Lahore",23,31.4923,74.3415,Gulberg Town,Residential,Atari Saroba,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
24,LMB024,Nishtar Colony Station,"Waheed Brother Colony, Lahore",24,31.4867,74.3478,Gulberg Town,Residential,Nishtar Colony,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
25,LMB025,Youhanabad Station,"Metro Bus Station, Youhanabad, Kasur Road, Glaxo Town, Lahore",25,31.4812,74.3542,Gulberg Town,Residential,Youhanabad,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
26,LMB026,Dullu Khurd Station,"Lahore - Kasur Road, Asif Town, Lahore",26,31.4756,74.3611,Gulberg Town,Residential,Dullu Khurd,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
27,LMB027,Gajjumata,"Lahore Metro Bus System, Gajjumata, Lahore",27,31.4702,74.3685,Gulberg Town,Residential,Gajjumata Terminal,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
